sentence=1	But	but	but	CC	O	(h<root> / --LEX--  :ARG2 (m<o>))	contrast-01	(o(s()))	0	ROOT	true
36	it	_	it	PRP	O	_	$LEMMA$	_	0	IGNORE	true
37	and	_	and	CC	O	(a<root> / --LEX--  :op2 (s<op2>)  :op1 (l<op1>)  :op3 (s2<op3>))	$LEMMA$	(op2(), op1(), op3())	28	APP_op1	true
38	kicking	_	kick	VBG	O	(d<root> / --LEX--)	$LEMMA$-out-03	()	37	APP_op2	true
39	out	_	out	RP	O	_	$LEMMA$	_	0	IGNORE	true
40	the	_	the	DT	O	_	person	_	0	IGNORE	true
41	management,	_	management,	NNS	O	(d<root> / --LEX--)	company	()	44	APP_o	true
42	and	_	and	CC	O	(a<root> / --LEX--  :op1 (b<op1>)  :op2 (g<op2>))	$LEMMA$	(op2(), op1())	15	MOD_op1	true
43	probably	_	probably	RB	O	(p<root> / --LEX--  :mod-of (s<mod>))	probable	(mod())	44	MOD_mod	true
44	doing	_	do	VBG	O	(s<root> / --LEX--  :ARG0 (y<s>)  :ARG1 (a<o>))	$LEMMA$-02	(s(), o())	42	APP_op2	true
45	a	_	a	DT	O	_	1	_	0	IGNORE	true
46	better	_	well	JJR	O	(b<root> / --LEX--  :ARG1 (p<s>)  :degree (m / more))	good-02	(s())	47	MOD_s	true
47	job	_	job	NN	O	(d<root> / --LEX--)	$LEMMA$	()	44	APP_s	true
48	.	_	.	.	O	_	multi-sentence	_	0	IGNORE	true

nodealignment=[24@@d@@strike-01, 33@@d@@factory, 29@@p2@@person, 14@@s@@very, 46@@b@@good-02, 15@@t@@threatening-01, 34@@a@@and, 12@@c@@country, 19@@d@@ownership,, 3@@d@@strike-01, 8@@s@@significant-02, 5@@s@@begin-01, 17@@d@@manage-01, 30@@s@@take-over-12, 37@@a@@and, 38@@d@@kick-out-03, 29@@e2@@person, 20@@s@@cause-01, 46@@m@@more, 41@@d@@company, 12@@n@@_NAME_, 35@@s@@run-01, 43@@p@@probable, 42@@a@@and, 1@@s@@sit-01, 44@@s@@do-02, 9@@t@@level, 47@@d@@job, 28@@w@@before, 27@@d@@step-01, 18@@a@@and, 26@@explicitanon0@@1]
sentence=1	As	as	as	IN	O	_	cause-01	_	0	IGNORE	true
2	we	_	we	PRP	O	(d<root> / --LEX--)	$LEMMA$	()	3	APP_s	true
3	look	_	look	VBP	O	(s<root> / --LEX--  :ARG1 (d<s>)  :time-of (m<mod>))	$LEMMA$-01	(mod(), s())	9	MOD_mod	true
4	to	_	to	IN	O	_	cause-01	_	0	IGNORE	true
5	the	_	the	DT	O	_	he	_	0	IGNORE	true
6	future,	_	future,	NNS	O	_	and	_	0	IGNORE	true
7	the	_	the	DT	O	_	he	_	0	IGNORE	true
8	first	_name_	first	JJ	O	(explicitanon0<root> / --LEX--  :value-of (o / ordinal-entity  :ord-of (p<mod>)))	1	(mod())	9	MOD_mod	true
9	essential	_	essential	NN	O	(r<root> / --LEX--  :domain (q<dom>))	$LEMMA$	(dom())	0	ROOT	true
10	is	_	be	VBZ	O	_	person	_	0	IGNORE	true
11	to	_	to	TO	O	_	have-purpose-91	_	0	IGNORE	true
12	begin	_	begin	VB	O	(s<root> / --LEX--  :ARG1 (p<s>))	$LEMMA$-01	(s())	31	APP_op1	true
13	healing	_	heal	VBG	O	(s<root> / --LEX--  :ARG1 (p<s>))	$LEMMA$-01	(s())	12	APP_s	true
14	the	_	the	DT	O	_	he	_	0	IGNORE	true
15	wounds	_	wound	NNS	O	(d<root> / --LEX--)	$LEMMA$	()	13	APP_s	true
16	of	_	of	IN	O	_	include-91	_	0	IGNORE	true
17	this	_	this	DT	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	28	MOD_mod	true
18	Nation,	nation,	nation,	CD	O	_	and	_	0	IGNORE	true
19	to	_	to	TO	O	_	and	_	0	IGNORE	true
20	put	_	put	VB	O	(s<root> / --LEX--  :ARG1 (p<s>))	$LEMMA$-01	(s())	31	APP_op2	true
21	the	_	the	DT	O	_	he	_	0	IGNORE	true
22	bitterness	_	bitterness	NN	O	(d<root> / --LEX--)	$LEMMA$	()	23	APP_op1	true
23	and	_	and	CC	O	(a<root> / --LEX--  :op1 (b<op1>)  :op2 (g<op2>))	$LEMMA$	(op2(), op1())	20	APP_s	true
24	divisions	_	division	NNS	O	(d<root> / --LEX--)	divide-02	()	23	APP_op2	true
25	of	_	of	IN	O	_	include-91	_	0	IGNORE	true
26	the	_	the	DT	O	_	person	_	0	IGNORE	true
27	recent	_	recent	JJ	O	(n<root> / --LEX--  :time-of (p<mod>))	$LEMMA$	(mod())	28	MOD_mod	true
28	past	_	past	NN	O	(n<root> / --LEX--  :time-of (p<mod>))	$LEMMA$	(mod())	23	MOD_mod	true
29	behind	_	behind	IN	O	(b<root> / --LEX--  :location-of (h<mod>))	$LEMMA$	(mod())	20	MOD_mod	true
30	us	_	us	PRP	O	_	$LEMMA$	_	0	IGNORE	true
31	and	_	and	CC	O	(a<root> / --LEX--  :op2 (s<op2>)  :op1 (l<op1>)  :op3 (s2<op3>))	$LEMMA$	(op2(), op1(), op3())	9	APP_dom	true
32	to	_	to	TO	O	_	cause-01	_	0	IGNORE	true
33	rediscover	_	rediscover	VB	O	(s<root> / --LEX--  :ARG1 (p<s>))	$LEMMA$-01	(s())	31	APP_op3	true
34	those	_	those	DT	O	_	that	_	0	IGNORE	true
35	shared	_	share	VBN	O	(s<root> / --LEX--  :ARG1 (p<s>))	share-01	(s())	36	MOD_s	true
36	ideals	_	ideal	NNS	O	(d<root> / --LEX--)	$LEMMA$	()	33	APP_s	true
37	that	_	that	WDT	O	_	$LEMMA$	_	0	IGNORE	true
38	lie	_	lie	VBP	O	(s<root> / --LEX--  :ARG1 (w<s>)  :ARG2 (d<o>))	$LEMMA$-01	(s(), o())	36	MOD_s	true
39	at	_	at	IN	O	_	$LEMMA$	_	0	IGNORE	true
40	the	_	the	DT	O	_	cause-01	_	0	IGNORE	true
41	heart	_	heart	NN	O	(h<root> / --LEX--  :part-of (i<poss>))	$LEMMA$	(poss())	38	APP_o	true
42	of	_	of	IN	O	_	include-91	_	0	IGNORE	true
43	our	_	our	PRP$	O	_	$LEMMA$	_	0	IGNORE	true
44	strength	_	strength	NN	O	(d<root> / --LEX--)	strong-02	()	45	APP_op1	true
45	and	_	and	CC	O	(a<root> / --LEX--  :op1 (b<op1>)  :op2 (g<op2>))	$LEMMA$	(op2(), op1())	41	APP_poss	true
46	unity	_	unity	NN	O	(d<root> / --LEX--)	$LEMMA$	()	45	APP_op2	true
47	as	_	as	IN	O	_	cause-01	_	0	IGNORE	true
48	a	_	a	DT	O	_	cause-01	_	0	IGNORE	true
49	great	_	great	JJ	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	54	MOD_mod	true
50	and	_	and	CC	O	_	$LEMMA$	_	0	IGNORE	true
51	as	_	as	IN	O	_	cause-01	_	0	IGNORE	true
52	a	_	a	DT	O	_	1	_	0	IGNORE	true
53	free	_	free	JJ	O	(s<root> / --LEX--  :ARG1 (p<s>))	$LEMMA$-04	(s())	54	MOD_s	true
54	people	_	people	NNS	O	(u<root> / --LEX--  :prep-as-of (f<mod>))	person	(mod())	45	MOD_mod	true
55	.	_	.	.	O	_	multi-sentence	_	0	IGNORE	true

nodealignment=[8@@o@@ordinal-entity, 49@@p@@great, 24@@d@@divide-02, 9@@r@@essential, 20@@s@@put-01, 35@@s@@share-01, 3@@s@@look-01, 54@@u@@person, 2@@d@@we, 12@@s@@begin-01, 45@@a@@and, 8@@explicitanon0@@1, 29@@b@@behind, 36@@d@@ideal, 17@@p@@this, 27@@n@@recent, 22@@d@@bitterness, 44@@d@@strong-02, 41@@h@@heart, 38@@s@@lie-01, 53@@s@@free-04, 46@@d@@unity, 33@@s@@rediscover-01, 28@@n@@past, 13@@s@@heal-01, 31@@a@@and, 15@@d@@wound, 23@@a@@and]
sentence=1	By	by	by	IN	O	_	$LEMMA$	_	0	IGNORE	true
2	the	_	the	DT	O	_	person	_	0	IGNORE	true
3	end,	_	end,	NNS	O	_	name	_	0	IGNORE	true
4	Gloria's	_name_	Gloria's	NNP	O	(n<root> / --LEX--  :name-of (s<mod>))	_NAME_	(mod())	22	MOD_mod	true
5	eczema	_	eczema	NN	O	(d<root> / --LEX--)	$LEMMA$	()	8	APP_dom	true
6	was	_	be	VBD	O	_	person	_	0	IGNORE	true
7	so	_	so	RB	O	(s<root> / --LEX--  :degree-of (t<mod>))	$LEMMA$	(mod())	8	MOD_mod	true
8	severe	_	severe	JJ	O	(r<root> / --LEX--  :domain (q<dom>))	$LEMMA$	(dom())	22	APP_op1	true
9	that	_	that	IN	O	_	cause-01	_	0	IGNORE	true
10	her	_	she	PRP$	O	_	$LEMMA$	_	0	IGNORE	true
11	skin	_	skin	NN	O	(d<root> / --LEX--)	$LEMMA$	()	12	APP_s	true
12	broke	_	break	VBD	O	(s<root> / --LEX--  :ARG1 (p<s>))	$LEMMA$-01	(s())	22	APP_op2	true
13	every	_	every	DT	O	(r<root> / --LEX--  :ARG4 (g2<s>)  :frequency-of (a3<mod>))	rate-entity-91	(mod(), s())	12	MOD_mod	true
14	time	_	time	NN	O	_	$LEMMA$	_	0	IGNORE	true
15	her	_	she	PRP$	O	_	$LEMMA$	_	0	IGNORE	true
16	parents	_	parent	NNS	O	(p<root> / person  :ARG0-of (h / have-rel-role-91  :ARG2 (f / --LEX--)))	$LEMMA$	()	17	APP_s	true
17	changed	_	change	VBD	O	(s<root> / --LEX--  :ARG1 (p<s>))	$LEMMA$-01	(s())	13	APP_s	true
18	her	_	she	PRP$	O	_	$LEMMA$	_	0	IGNORE	true
19	clothes	_	clothe	NNS	O	(d<root> / --LEX--)	$LEMMA$	()	20	APP_op2	true
20	or	_	or	CC	O	(a<root> / --LEX--  :op1 (b<op1>)  :op2 (g<op2>))	$LEMMA$	(op2(), op1())	17	MOD_op1	true
21	nappy,	_	nappy,	NNS	O	_	et-cetera	_	0	IGNORE	true
22	and	_	and	CC	O	(a<root> / --LEX--  :op2 (s<op2>)  :op1 (l<op1>)  :op3 (s2<op3>))	$LEMMA$	(op2(), op1(), op3())	0	ROOT	true
23	in	_	in	IN	O	_	i	_	0	IGNORE	true
24	the	_	the	DT	O	_	person	_	0	IGNORE	true
25	words	_	word	NNS	O	(s<root> / --LEX--  :ARG0 (y<s>)  :ARG1 (a<o>))	$LEMMA$-01	(s(), o())	32	MOD_o	true
26	of	_	of	IN	O	_	include-91	_	0	IGNORE	true
27	the	_	the	DT	O	_	person	_	0	IGNORE	true
28	Crown	_name_	Crown	NNP	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	31	MOD_mod	true
29	prosecutor,	_	prosecutor,	NNP	O	_	have-org-role-91	_	0	IGNORE	true
30	Mark_Tedeschi,_QC,	_name_	QC,	NNP	O	_	_NAME_	_	0	IGNORE	true
31	"Gloria	"gloria	"gloria	CD	O	(p<root> / person  :name (n / --LEX--))	_NAME_	()	32	APP_s	true
32	spent	_	spend	VBD	O	(s<root> / --LEX--  :ARG0 (y<s>)  :ARG1 (a<o>))	$LEMMA$-02	(s(), o())	22	APP_op3	true
33	a	_	a	DT	O	_	1	_	0	IGNORE	true
34	lot	_	lot	NN	O	(explicitanon0<root> / --LEX--  :quant-of (b<mod>))	$LEMMA$	(mod())	36	MOD_mod	true
35	of	_	of	IN	O	_	include-91	_	0	IGNORE	true
36	the_last_five_months	_name_	month	NNS	O	(m<root> / --LEX--  :poss (i<poss>))	$LEMMA$	(poss())	32	APP_o	true
37	of	_	of	IN	O	_	include-91	_	0	IGNORE	true
38	her	_	she	PRP$	O	_	$LEMMA$	_	0	IGNORE	true
39	life	_	life	NN	O	(d<root> / --LEX--)	$LEMMA$	()	36	APP_poss	true
40	crying,	_	crying,	NNP	O	_	and	_	0	IGNORE	true
41	irritable,	_	irritable,	NNP	O	_	and	_	0	IGNORE	true
42	scratching	_	scratching	NN	O	(d<root> / --LEX--)	$LEMMA$-01	()	43	APP_op3	true
43	and	_	and	CC	O	(a<root> / --LEX--  :op2 (s<op2>)  :op1 (l<op1>)  :op3 (s2<op3>))	$LEMMA$	(op2(), op1(), op3())	22	MOD_op1	true
44	the	_	the	DT	O	_	$LEMMA$	_	0	IGNORE	true
45	only	_	only	JJ	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	46	MOD_mod	true
46	thing	_	thing	NN	O	(d<root> / --LEX--)	$LEMMA$	()	48	APP_o2	true
47	that	_	that	WDT	O	_	cause-01	_	0	IGNORE	true
48	gave	_	give	VBD	O	(b<root> / --LEX--  :ARG1 (i<o>)  :ARG2 (h<o2>)  :ARG0 (a<s>))	$LEMMA$-01	(o2(), s(), o())	42	MOD_s	true
49	her	_	she	PRP$	O	_	$LEMMA$	_	0	IGNORE	true
50	solace	_	solace	NN	O	(d<root> / --LEX--)	$LEMMA$	()	48	APP_o	true
51	was	_	be	VBD	O	_	person	_	0	IGNORE	true
52	to	_	to	TO	O	_	cause-01	_	0	IGNORE	true
53	suck	_	suck	VB	O	(i<root> / --LEX--  :ARG1 (c<s>)  :purpose-of (d<mod>))	$LEMMA$-01	(mod(), s())	48	MOD_mod	true
54	on	_	on	IN	O	_	$LEMMA$	_	0	IGNORE	true
55	her	_	she	PRP$	O	_	$LEMMA$	_	0	IGNORE	true
56	mother's	_	mother's	NN	O	_	person	_	0	IGNORE	true
57	breast.	_	breast.	NN	O	_	$LEMMA$	_	0	IGNORE	true
58	"	_	"	''	O	_	expressive	_	0	IGNORE	true

nodealignment=[53@@i@@suck-01, 46@@d@@thing, 50@@d@@solace, 43@@a@@and, 42@@d@@scratching-01, 22@@a@@and, 39@@d@@life, 16@@p@@person, 16@@f@@parent, 17@@s@@change-01, 19@@d@@clothe, 16@@h@@have-rel-role-91, 28@@p@@Crown, 25@@s@@word-01, 36@@m@@month, 31@@n@@_NAME_, 31@@p@@person, 13@@r@@rate-entity-91, 5@@d@@eczema, 32@@s@@spend-02, 8@@r@@severe, 7@@s@@so, 11@@d@@skin, 4@@n@@_NAME_, 34@@explicitanon0@@lot, 20@@a@@or, 45@@p@@only, 48@@b@@give-01, 12@@s@@break-01]
sentence=1	Yesterday,	yesterday,	Yesterday,	NNP	O	_	name	_	0	IGNORE	true
2	North_Korea	_name_	Korea	NNP	O	(c<root> / country  :name (n / --LEX--))	_NAME_	()	3	APP_s	true
3	fired	_	fire	VBD	O	(s<root> / --LEX--  :ARG0 (y<s>)  :ARG1 (a<o>))	$LEMMA$-01	(s(), o())	0	ROOT	true
4	artillery	_	artillery	NN	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	5	MOD_mod	true
5	rounds	_	round	NNS	O	(d<root> / --LEX--)	$LEMMA$	()	3	APP_o	true
6	aimed	_	aim	VBN	O	(s<root> / --LEX--  :ARG1 (w<s>)  :ARG2 (d<o>))	$LEMMA$-02	(s(), o())	5	MOD_s	true
7	at	_	at	IN	O	_	person	_	0	IGNORE	true
8	a	_	a	DT	O	_	1	_	0	IGNORE	true
9	loudspeaker	_	loudspeaker	NN	O	(d<root> / --LEX--)	$LEMMA$	()	6	APP_o	true
10	in	_	in	IN	O	_	i	_	0	IGNORE	true
11	South_Korea	_name_	Korea	NNP	O	(c<root> / country  :name (n / --LEX--)  :location-of (l<mod>))	_NAME_	(mod())	9	MOD_mod	true
12	that	_	that	WDT	O	_	$LEMMA$	_	0	IGNORE	true
13	broadcasts	_	broadcast	VBZ	O	(b<root> / --LEX--  :ARG1 (i<o>)  :ARG2 (h<o2>)  :ARG0 (a<s>))	$LEMMA$-01	(o2(), s(), o())	9	MOD_s	true
14	anti-Pyongyang	_name_	anti-pyongyang	JJ	O	(c<root> / city  :name (n / --LEX--)  :location-of (l<mod>))	_NAME_	(mod())	15	MOD_mod	true
15	propaganda	_	propaganda	NN	O	(d<root> / --LEX--)	$LEMMA$	()	13	APP_o	true
16	into	_	into	IN	O	_	$LEMMA$	_	0	IGNORE	true
17	the	_	the	DT	O	_	person	_	0	IGNORE	true
18	North	_name_	North	NNP	O	(d<root> / --LEX--)	_NAME_	()	13	APP_o2	true
19	.	_	.	.	O	_	and	_	0	IGNORE	true

nodealignment=[11@@n@@_NAME_, 2@@c@@country, 13@@b@@broadcast-01, 4@@p@@artillery, 11@@c@@country, 3@@s@@fire-01, 5@@d@@round, 6@@s@@aim-02, 2@@n@@_NAME_, 15@@d@@propaganda, 14@@c@@city, 18@@d@@_NAME_, 14@@n@@_NAME_, 9@@d@@loudspeaker]
sentence=1	In	in	in	IN	O	_	person	_	0	IGNORE	true
2	the	_	the	DT	O	_	person	_	0	IGNORE	true
3	current	_	current	JJ	O	(n<root> / --LEX--  :time-of (p<mod>))	$LEMMA$	(mod())	14	MOD_mod	true
4	study,	_	study,	NNP	O	_	and	_	0	IGNORE	true
5	those	_	those	DT	O	_	that	_	0	IGNORE	true
6	respondents	_	respondent	NNS	O	(p2<root> / person  :ARG0-of (e2 / --LEX--))	respond-01	()	14	APP_s	true
7	who	_	who	WP	O	_	person	_	0	IGNORE	true
8	indicated	_	indicate	VBD	O	(s<root> / --LEX--  :ARG0 (y<s>)  :ARG1 (a<o>))	$LEMMA$-01	(s(), o())	6	MOD_s	true
9	more	_	more	JJR	O	_	$LEMMA$	_	0	IGNORE	true
10	than	_	than	IN	O	(s<root> / --LEX--  :op1 (explicitanon0<op1>)  :quant-of (b<mod>))	more-$LEMMA$	(op1(), mod())	14	MOD_mod	true
11	one	_	one	CD	O	(d<root> / --LEX--)	1	()	10	APP_op1	true
12	race	_	race	NN	O	(d<root> / --LEX--)	$LEMMA$	()	8	APP_o	true
13	were	_	be	VBD	O	_	person	_	0	IGNORE	true
14	coded	_	code	VBN	O	(s<root> / --LEX--  :ARG1 (w<s>)  :ARG2 (d<o>))	$LEMMA$-01	(s(), o())	0	ROOT	true
15	as	_	as	IN	O	_	prove-01	_	0	IGNORE	true
16	“mixed	_	“mixed	JJ	O	(d<root> / --LEX--)	$LEMMA$	()	14	APP_o	true
17	race”	_	race”	NNS	O	_	thing	_	0	IGNORE	true
18	.	_	.	.	O	_	thing	_	0	IGNORE	true

nodealignment=[6@@p2@@person, 8@@s@@indicate-01, 16@@d@@“mixed, 10@@s@@more-than, 11@@d@@1, 14@@s@@code-01, 6@@e2@@respond-01, 12@@d@@race, 3@@n@@current]
sentence=1	It	it	It	PRP	O	(d<root> / --LEX--)	$LEMMA$	()	2	APP_s	true
2	serves	_	serve	VBZ	O	(s<root> / --LEX--  :ARG0 (y<s>)  :ARG1 (a<o>))	$LEMMA$-01	(s(), o())	0	ROOT	true
3	as	_	as	IN	O	_	cause-01	_	0	IGNORE	true
4	a	_	a	DT	O	_	1	_	0	IGNORE	true
5	reminder	_	reminder	NN	O	(s<root> / --LEX--  :ARG1 (p<s>))	remind-01	(s())	2	APP_o	true
6	of	_	of	IN	O	_	thing	_	0	IGNORE	true
7	the	_	the	DT	O	_	thing	_	0	IGNORE	true
8	work	_	work	NN	O	(d<root> / --LEX--)	$LEMMA$-01	()	5	APP_s	true
9	that	_	that	WDT	O	_	obligate-01	_	0	IGNORE	true
10	needs	_	need	VBZ	O	(s<root> / --LEX--  :ARG1 (p<s>))	$LEMMA$-01	(s())	13	MOD_s	true
11	to	_	to	TO	O	_	person	_	0	IGNORE	true
12	be	_	be	VB	O	_	person	_	0	IGNORE	true
13	completed	_	complete	VBN	O	(s<root> / --LEX--  :ARG1 (p<s>))	$LEMMA$-01	(s())	8	MOD_s	true
14	for	_	for	IN	O	_	or	_	0	IGNORE	true
15	the	_	the	DT	O	_	name	_	0	IGNORE	true
16	cross-linguistic	_	cross-linguistic	JJ	O	(p<root> / --LEX--  :mod-of (s<mod>))	hegemony	(mod())	17	MOD_mod	true
17	study	_	study	NN	O	(s<root> / --LEX--  :ARG1 (p<s>))	$LEMMA$-01	(s())	22	APP_op1	true
18	of	_	of	IN	O	_	include-91	_	0	IGNORE	true
19	SI	_name_	SI	NNP	O	(d<root> / --LEX--)	_NAME_	()	17	APP_s	true
20	in	_	in	IN	O	_	cause-01	_	0	IGNORE	true
21	particular	_	particular	JJ	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	19	MOD_mod	true
22	and	_	and	CC	O	(a<root> / --LEX--  :op2 (e<op2>)  :op1 (c<op1>)  :topic-of (t<mod>))	$LEMMA$	(op2(), op1(), mod())	13	MOD_mod	true
23	acquisition	_	acquisition	NN	O	(d<root> / --LEX--)	acquire-01	()	22	APP_op2	true
24	more	_	more	RBR	O	(s<root> / --LEX--  :degree-of (t<mod>))	$LEMMA$	(mod())	25	MOD_mod	true
25	generally	_	generally	RB	O	(s<root> / --LEX--  :ARG1 (p<s>))	general-02	(s())	23	MOD_s	true
26	.	_	.	.	O	_	thing	_	0	IGNORE	true

nodealignment=[2@@s@@serve-01, 22@@a@@and, 1@@d@@It, 24@@s@@more, 16@@p@@hegemony, 8@@d@@work-01, 13@@s@@complete-01, 17@@s@@study-01, 19@@d@@_NAME_, 10@@s@@need-01, 21@@p@@particular, 25@@s@@general-02, 23@@d@@acquire-01, 5@@s@@remind-01]
sentence=1	Biologists	biologists	biologist	NNS	O	(d<root> / --LEX--)	$LEMMA$	()	2	APP_s	true
2	think	_	think	VBP	O	(s<root> / --LEX--  :ARG0 (y<s>)  :ARG1 (a<o>))	$LEMMA$-01	(s(), o())	0	ROOT	true
3	that	_	that	IN	O	_	cause-01	_	0	IGNORE	true
4	fear	_	fear	NN	O	(d<root> / --LEX--)	$LEMMA$-01	()	5	APP_s	true
5	causes	_	cause	VBZ	O	(s<root> / --LEX--  :ARG0 (y<s>)  :ARG1 (a<o>))	$LEMMA$-01	(s(), o())	2	APP_o	true
6	this	_	this	DT	O	(d<root> / --LEX--)	$LEMMA$	()	5	APP_o	true
7	"hypnosis,"	_	"hypnosis,"	,	O	_	include-91	_	0	IGNORE	true
8	which	_	which	WDT	O	_	amr-unknown	_	0	IGNORE	true
9	may	_	may	MD	O	(s<root> / --LEX--  :ARG1 (p<s>))	possible-01	(s())	12	MOD_s	true
10	be	_	be	VB	O	_	person	_	0	IGNORE	true
11	an	_	an	DT	O	_	1	_	0	IGNORE	true
12	attempt	_	attempt	NN	O	(b<root> / --LEX--  :ARG1 (r<s>)  :compared-to-of (d<mod>))	$LEMMA$-01	(mod(), s())	6	MOD_mod	true
13	to	_	to	IN	O	_	thing	_	0	IGNORE	true
14	"play	_	"play	ADD	O	(d<root> / --LEX--)	$LEMMA$-01	()	12	APP_s	true
15	dead"	_	dead"	VBZ	O	_	and	_	0	IGNORE	true
16	to	_	to	TO	O	_	cause-01	_	0	IGNORE	true
17	fool	_	fool	VB	O	(i<root> / --LEX--  :ARG1 (c<s>)  :purpose-of (d<mod>))	$LEMMA$-01	(mod(), s())	14	MOD_mod	true
18	predators	_	predator	NNS	O	(p2<root> / person  :ARG0-of (e2 / --LEX--))	prey-01	()	17	APP_s	true
19	.	_	.	.	O	_	cause-01	_	0	IGNORE	true

nodealignment=[18@@p2@@person, 12@@b@@attempt-01, 9@@s@@possible-01, 6@@d@@this, 14@@d@@"play-01, 5@@s@@cause-01, 4@@d@@fear-01, 17@@i@@fool-01, 2@@s@@think-01, 1@@d@@biologist, 18@@e2@@prey-01]
sentence=1	If	if	if	IN	O	(s<root> / --LEX--  :ARG1 (w<s>)  :ARG2 (d<o>))	have-condition-91	(s(), o())	10	MOD_s	true
2	both	_	both	DT	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	7	MOD_mod	true
3	your	_	your	PRP$	O	_	$LEMMA$	_	0	IGNORE	true
4	primary	_	primary	JJ	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	7	MOD_mod	true
5	and	_	and	CC	O	_	$LEMMA$	_	0	IGNORE	true
6	reserve	_	reserve	NN	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	7	MOD_mod	true
7	chutes	_	chute	NNS	O	(d<root> / --LEX--)	$LEMMA$	()	1	APP_o	true
8	have	_	have	VBP	O	_	$LEMMA$-quant-91	_	0	IGNORE	true
9	malfunctioned,	_	malfunctioned,	NNS	O	_	and	_	0	IGNORE	true
10	signal	_	signal	NN	O	(s<root> / --LEX--  :ARG1 (w<s>)  :ARG2 (d<o>))	$LEMMA$-01	(s(), o())	0	ROOT	true
11	immediately	_	immediately	RB	O	(n<root> / --LEX--  :time-of (p<mod>))	immediate	(mod())	10	MOD_mod	true
12	to	_	to	IN	O	_	-	_	0	IGNORE	true
13	a	_	a	DT	O	_	$LEMMA$	_	0	IGNORE	true
14	fellow	_	fellow	NN	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	15	MOD_mod	true
15	jumper	_	jumper	NN	O	(p2<root> / person  :ARG0-of (e2 / --LEX--))	$LEMMA$	()	10	APP_s	true
16	who	_	who	WP	O	_	have-org-role-91	_	0	IGNORE	true
17	has	_	have	VBZ	O	_	person	_	0	IGNORE	true
18	not	_	not	RB	O	(explicitanon0<root> / --LEX--  :polarity-of (e<mod>))	-	(mod())	20	MOD_mod	true
19	yet	_	yet	RB	O	(n<root> / --LEX--  :time-of (p<mod>))	$LEMMA$	(mod())	20	MOD_mod	true
20	deployed	_	deploy	VBN	O	(s<root> / --LEX--  :ARG0 (y<s>))	$LEMMA$-01	(s())	15	MOD_s	true
21	their	_	they	PRP$	O	_	$LEMMA$	_	0	IGNORE	true
22	chute,	_	chute,	NNS	O	_	and	_	0	IGNORE	true
23	waving	_	wave	VBG	O	(s<root> / --LEX--  :ARG1 (p<s>))	$LEMMA$-01	(s())	26	APP_op1	true
24	your	_	your	PRP$	O	_	$LEMMA$	_	0	IGNORE	true
25	arms	_	arm	NNS	O	(d<root> / --LEX--)	$LEMMA$	()	23	APP_s	true
26	and	_	and	CC	O	(a<root> / --LEX--  :op1 (b<op1>)  :op2 (g<op2>))	$LEMMA$	(op2(), op1())	10	APP_o	true
27	signalling	_	signal	VBG	O	(s<root> / --LEX--  :ARG1 (p<s>))	$LEMMA$-01	(s())	26	APP_op2	true
28	that	_	that	IN	O	_	$LEMMA$	_	0	IGNORE	true
29	your	_	your	PRP$	O	_	thing	_	0	IGNORE	true
30	own	_	own	JJ	O	_	$LEMMA$	_	0	IGNORE	true
31	is	_	be	VBZ	O	_	person	_	0	IGNORE	true
32	not	_	not	RB	O	(explicitanon0<root> / --LEX--  :polarity-of (e<mod>))	-	(mod())	33	MOD_mod	true
33	functional	_	functional	JJ	O	(d<root> / --LEX--)	$LEMMA$	()	27	APP_s	true
34	.	_	.	.	O	_	thing	_	0	IGNORE	true

nodealignment=[11@@n@@immediate, 23@@s@@wave-01, 15@@e2@@jumper, 25@@d@@arm, 32@@explicitanon0@@-, 19@@n@@yet, 26@@a@@and, 1@@s@@have-condition-91, 15@@p2@@person, 14@@p@@fellow, 33@@d@@functional, 7@@d@@chute, 18@@explicitanon0@@-, 2@@p@@both, 20@@s@@deploy-01, 10@@s@@signal-01, 4@@p@@primary, 27@@s@@signal-01, 6@@p@@reserve]
sentence=1	Jerome	_name_	Jerome	NNP	O	(p<root> / person  :name (n / --LEX--))	_NAME_	()	3	APP_s	true
2	initially	_	initially	RB	O	(n<root> / --LEX--  :time-of (p<mod>))	initial	(mod())	3	MOD_mod	true
3	used	_	use	VBD	O	(i<root> / --LEX--  :ARG0 (t<s>)  :ARG2 (f<o2>)  :ARG1 (a<o>))	$LEMMA$-01	(o2(s()), o())	0	ROOT	true
4	classical	_	classical	JJ	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	5	MOD_mod	true
